timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723809890535,5,Petición HTTP,200,OK,Open Model Thread Group 1-1,text,true,,189,196,1,1,http://127.0.0.1:5000/,5,0,1
1723809890553,3,Petición HTTP,200,OK,Open Model Thread Group 1-2,text,true,,189,196,1,1,http://127.0.0.1:5000/,3,0,0
1723809890680,4,Petición HTTP,200,OK,Open Model Thread Group 1-3,text,true,,189,196,1,1,http://127.0.0.1:5000/,4,0,2
1723809891887,10,Petición HTTP,200,OK,Open Model Thread Group 1-4,text,true,,189,196,2,2,http://127.0.0.1:5000/,10,0,1
1723809891888,12,Petición HTTP,200,OK,Open Model Thread Group 1-5,text,true,,189,196,1,1,http://127.0.0.1:5000/,11,0,1
1723809892352,10,Petición HTTP,200,OK,Open Model Thread Group 1-6,text,true,,189,196,1,1,http://127.0.0.1:5000/,9,0,2
1723809892838,8,Petición HTTP,200,OK,Open Model Thread Group 1-7,text,true,,189,196,1,1,http://127.0.0.1:5000/,8,0,2
1723809892979,9,Petición HTTP,200,OK,Open Model Thread Group 1-8,text,true,,189,196,1,1,http://127.0.0.1:5000/,9,0,2
1723809893257,5,Petición HTTP,200,OK,Open Model Thread Group 1-9,text,true,,189,196,1,1,http://127.0.0.1:5000/,5,0,1
1723809893414,8,Petición HTTP,200,OK,Open Model Thread Group 1-10,text,true,,189,196,1,1,http://127.0.0.1:5000/,8,0,1
1723809894023,8,Petición HTTP,200,OK,Open Model Thread Group 1-11,text,true,,189,196,1,1,http://127.0.0.1:5000/,8,0,2
1723809894303,9,Petición HTTP,200,OK,Open Model Thread Group 1-12,text,true,,189,196,1,1,http://127.0.0.1:5000/,9,0,2
1723809894337,4,Petición HTTP,200,OK,Open Model Thread Group 1-13,text,true,,189,196,1,1,http://127.0.0.1:5000/,4,0,1
1723809894499,9,Petición HTTP,200,OK,Open Model Thread Group 1-15,text,true,,189,196,2,2,http://127.0.0.1:5000/,9,0,1
1723809894496,14,Petición HTTP,200,OK,Open Model Thread Group 1-14,text,true,,189,196,1,1,http://127.0.0.1:5000/,14,0,1
1723809894712,8,Petición HTTP,200,OK,Open Model Thread Group 1-16,text,true,,189,196,1,1,http://127.0.0.1:5000/,8,0,2
1723809895276,9,Petición HTTP,200,OK,Open Model Thread Group 1-17,text,true,,189,196,1,1,http://127.0.0.1:5000/,9,0,2
1723809895971,8,Petición HTTP,200,OK,Open Model Thread Group 1-18,text,true,,189,196,1,1,http://127.0.0.1:5000/,7,0,2
1723809896012,9,Petición HTTP,200,OK,Open Model Thread Group 1-19,text,true,,189,196,1,1,http://127.0.0.1:5000/,8,0,2
1723809896119,5,Petición HTTP,200,OK,Open Model Thread Group 1-20,text,true,,189,196,1,1,http://127.0.0.1:5000/,5,0,1
1723809896185,6,Petición HTTP,200,OK,Open Model Thread Group 1-21,text,true,,189,196,1,1,http://127.0.0.1:5000/,6,0,2
1723809896315,10,Petición HTTP,200,OK,Open Model Thread Group 1-22,text,true,,189,196,1,1,http://127.0.0.1:5000/,10,0,2
1723809896350,8,Petición HTTP,200,OK,Open Model Thread Group 1-23,text,true,,189,196,1,1,http://127.0.0.1:5000/,8,0,1
1723809897163,7,Petición HTTP,200,OK,Open Model Thread Group 1-24,text,true,,189,196,1,1,http://127.0.0.1:5000/,7,0,1
1723809897311,8,Petición HTTP,200,OK,Open Model Thread Group 1-25,text,true,,189,196,2,2,http://127.0.0.1:5000/,8,0,2
